name,latitude,longitude,rating,num_reviews,rooms,total_grade
Chris Paul Hotel,38.191147,22.197136,4.0,63.0,25.0,0.0
Olympion Asty Hotel,37.641598,21.614847,4.5,423.0,41.0,62.0
My Way Hotel & Events,38.251522,21.736492,5.0,32.0,0.0,90.0
Hotel Cecil Sparta,37.09015,22.4509,4.0,19.0,302.0,0.0
Apollon Hotel,37.07737,22.429846,2.5,21.0,60.0,93.0
Artemis Hotel,37.51308,22.37479,3.5,17.0,172.0,92.0
Galaxy Hotel,37.51046,22.372078,2.5,14.0,80.0,93.0
Ceragio Hotel & Apartments,37.51554,22.3732,4.5,34.0,14.0,87.0
Hotel Agyra,37.5114,23.445808,1.0,1.0,0.0,54.0
Hotel Angira,37.5082,23.44548,3.0,2.0,45.0,56.0
Thimaras Hotel,37.258312,23.158426,4.5,37.0,16.0,67.0
Sirios Studios,39.166134,23.48532,4.0,6.0,10.0,94.0
Hotel Mario,39.1667,23.4833,3.5,27.0,0.0,83.0
Kyra Frosini,39.14032,23.41962,3.0,1.0,0.0,59.0
Melissanthi,38.87698,24.56639,5.0,1.0,5.0,0.0
Paradise Hotel,38.9042,24.5631,4.0,5.0,19.0,69.0
Alkistis Hotel,39.10496,23.732847,4.5,89.0,42.0,0.0
Asteras Hotel,39.637665,22.418215,3.5,57.0,10.0,82.0
Hotel Doma,39.63176,22.41398,5.0,1.0,6.0,67.0
Papanastassiou Hotel,39.55081,21.75874,4.5,15.0,35.0,66.0
Palladion,39.55497,21.76657,4.0,1.0,20.0,92.0
Kefos Hotel,39.70448,21.63195,3.5,4.0,11.0,94.0
Oceanis Hotel,40.846546,25.874521,4.5,63.0,24.0,96.0
Arcadia Hotel,41.135,25.37759,3.5,55.0,85.0,0.0
Orfeas,41.137596,24.889984,2.5,12.0,0.0,88.0
Francesco's,36.723442,25.280046,4.5,217.0,37.0,93.0
Apostolas Studios,36.0918,28.0794,4.5,28.0,61.0,86.0
Goulas Hotel,36.6868,23.055239,4.5,36.0,5.0,83.0
Hotel Chrisais,36.687317,23.032099,3.5,30.0,19.0,0.0
Bozcaada Destina Suit Otel,39.83116,26.066948,5.0,1.0,16.0,86.0
Segmen Hotel,39.548023,26.614222,2.5,58.0,63.0,48.0
Hotel Keops,41.02503,21.31206,4.0,2.0,0.0,0.0
